1734411814.995035 client started (31375): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1734411814.995076 on Linux 6.9.3-76060903-generic #202405300957~1732141768~22.04~f2697e1 SMP PREEMPT_DYNAMIC Wed N
1734411814.996039 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996042 sending message 112 to peer 0x5e553a568670 (10 bytes)
1734411814.996045 sending message 112 to peer 0x5e553a568670 (10 bytes)
1734411814.996047 sending message 112 to peer 0x5e553a568670 (10 bytes)
1734411814.996050 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996053 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996055 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996058 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996061 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996064 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996067 sending message 112 to peer 0x5e553a568670 (10 bytes)
1734411814.996070 sending message 112 to peer 0x5e553a568670 (11 bytes)
1734411814.996073 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996075 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996078 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996081 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996083 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996086 sending message 112 to peer 0x5e553a568670 (11 bytes)
1734411814.996089 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996092 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996094 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996097 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996100 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996102 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996105 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996108 sending message 112 to peer 0x5e553a568670 (10 bytes)
1734411814.996111 sending message 112 to peer 0x5e553a568670 (9 bytes)
1734411814.996113 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996116 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996119 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996121 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996124 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996127 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996129 sending message 112 to peer 0x5e553a568670 (9 bytes)
1734411814.996132 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996135 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996138 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996144 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996147 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996150 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996153 sending message 112 to peer 0x5e553a568670 (11 bytes)
1734411814.996156 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996159 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996162 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996164 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996167 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996169 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996172 sending message 112 to peer 0x5e553a568670 (11 bytes)
1734411814.996174 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996177 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996182 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996185 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996188 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996190 sending message 112 to peer 0x5e553a568670 (22 bytes)
1734411814.996193 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996195 sending message 112 to peer 0x5e553a568670 (9 bytes)
1734411814.996198 sending message 112 to peer 0x5e553a568670 (6 bytes)
1734411814.996200 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996203 sending message 112 to peer 0x5e553a568670 (10 bytes)
